#Name	HomeValue2000	Income1999	Poverty1999	PopDensity2000	PopChange	Prcnt65+	Below18	PrcntFemale2000	PrcntHSgrads2000	PrcntCollege2000	Unemployed	PrcntBelow18	LifeExpectancy	FarmAcres
ID Butte	68700	14948	18.2	2899	-1.5	14.9	842	49.7	82.6	13	64	29	76.4	129639
ID Camas	86400	19550	8.3	991	1.1	13	245	48.8	88.4	22.2	18	24.7	76.8	127514
ID Canyon	96300	15155	12	131441	6.4	11	40679	50.3	76	14.9	3061	30.9	76.6	354919
ID Caribou	80400	15179	9.6	7304	1.3	13.6	2312	50.2	86.6	15.9	189	31.7	76.8	469381
ID Cassia	83100	14087	13.6	21416	0.8	12.7	7313	49.7	76.9	13.9	654	34.1	76.6	656658
ID Clark	64600	11141	19.9	1022	-5	9.2	360	47.5	64	12.6	19	35.2	76.4	215301
ID Clearwater	80500	15463	13.5	8930	-4.3	15.6	2057	46.9	80.1	13.4	554	23	78	73103
ID Custer	90400	15783	14.3	4342	-1.2	14.5	1109	48.9	84.5	17.4	164	25.5	76.8	147913
ID Elmore	93200	16773	11.2	29130	0.1	7.1	8142	44.8	87.2	17.3	604	28	75.9	355590
ID Franklin	94300	13702	7.4	11329	2.3	11.7	4231	50.2	88.2	13.6	163	37.3	76.9	246127
ID Fremont	82200	13965	14.2	11819	0	12.4	3915	48.6	80.4	12	333	33.1	77	334151
ID Gem	97600	15340	13.1	15181	2	15.6	4244	50.3	79.4	11.4	436	28	76.2	
ID Gooding	82500	14612	13.8	14155	0.4	15.4	4192	49	72.6	12	239	29.6	76.3	220362
ID Idaho	88600	14411	16.3	15511	-0.6	17	3873	49.1	82.9	14.4	678	25	76.4	649851
ID Jefferson	91900	13838	10.4	19155	2.2	9.3	6960	49.4	84.4	15.2	455	36.3	77	332535
ID Jerome	89800	15530	13.9	18342	0.6	12.3	5775	48.9	75.1	14	406	31.5	76.3	193921
ID Kootenai	120100	18430	10.5	108685	3.3	12.3	29500	50.5	87.3	19.1	4481	27.1	76.5	130843
ID Latah	126400	16690	16.7	34935	-1.3	9.5	7075	48.2	91	41	492	20.3	78	325484
ID Lemhi	91500	16037	15.3	7806	-2.6	16.8	1991	50.2	82.5	17.9	311	25.5	76.4	196584
ID Lewis	78900	15942	12	3747	-3.3	18.5	951	49.5	84.2	14.8	104	25.4	76.4	193582
ID Lincoln	75700	14257	13.1	4044	2.2	13.1	1228	48.4	77.4	13	103	30.4	76.3	131473
ID Madison	106800	10956	30.5	27467	-0.5	6	7186	52.4	88.5	24.4	269	26.2	78.5	222817
ID Minidoka	74600	13813	14.8	20174	-2.5	13.2	6382	50	73.7	10.1	742	31.6	76.6	206882
ID Nez Perce	105800	18544	12.2	37410	-0.8	16.5	8897	50.8	85.5	18.9	925	23.8	76.7	339476
ID Oneida	88400	13829	10.8	4125	2.1	15.9	1318	49.2	86.4	15	67	32	76.9	271108
ID Owyhee	82500	13405	16.9	10644	3.4	12.1	3398	47.8	67.6	10.2	193	31.9	75.9	682860
ID Payette	87900	14924	13.2	20578	1.4	13.2	6306	50.4	74.5	10.6	760	30.6	76.4	148467
ID Power	89000	14007	16.1	7538	-0.9	10.4	2549	49.8	74.7	14.3	252	33.8	76.9	424085
ID Shoshone	70200	15934	16.4	13771	-2.4	17.4	3159	50.1	77.9	10.2	770	22.9	73.5	4100
ID Teton	133000	17778	12.9	5999	7	7.5	1905	47	87.3	28.1	110	31.8	77	132678
ID Twin Falls	93800	16678	12.7	64284	0.7	14.3	17920	50.9	81.3	16	1567	27.9	76.5	456378
ID Valley	141200	19246	9.3	7651	0.8	14.8	1810	48.6	88.9	26.3	381	23.7	76.2	64282
ID Washington	90200	15464	13.3	9977	-0.2	17.7	2738	51.1	76.6	12.7	390	27.4	76.4	443184
IL Adams	75600	17894	10	68277	-0.5	17.6	17001	51.9	83.7	17.6	1318	24.9	75.8	442081
IL Alexander	33400	16084	26.1	9590	-0.5	16.9	2476	50.4	67	6.9	301	25.8	73.7	71280
IL Bond	68900	17947	9.3	17633	0.7	14.7	3862	46.2	72.8	15	343	21.9	75.9	180064
IL Boone	123600	21590	7	41786	4	10.7	12446	50	80.8	14.5	982	29.8	76.6	141426
IL Brown	47400	14629	8.5	6950	-0.8	12.7	1234	36.4	63.3	9.2	102	17.8	76.9	152160
IL Bureau	77800	19542	7.3	35503	-0.6	17.7	8785	51.4	84.1	15.7	902	24.7	76.6	483993
IL Calhoun	61600	16785	9	5084	0	19.2	1166	49.8	79.9	9.4	159	22.9	75.5	99483
IL Carroll	68700	18688	9.6	16674	-0.9	19.3	4046	50.6	83.3	13.1	530	24.3	76.6	243305
IL Cass	54900	16532	12	13695	-1.4	15.7	3473	50.3	80	12.6	395	25.4	75.2	192156
IL Champaign	94700	19708	16.1	179669	0	9.7	37819	49.7	91	38	2473	21	77	567697
IL Christian	61000	17937	9.5	35372	-0.1	17.2	8521	50.1	81	10.5	1051	24.1	75.7	389958
IL Clark	63300	17655	9.2	17008	-0.3	18	4233	51.4	80	13.6	397	24.9	75.2	268818
IL Clay	51500	15771	11.8	14560	-2	19.2	3483	52	75.9	9.7	584	23.9	76.5	238717
IL Clinton	83700	19109	6.4	35535	0.3	14.4	8836	48.4	77.4	13	684	24.9	76.9	233677
IL Coles	71500	17370	17.5	53196	-1.1	13.3	10477	52.3	82.9	20.8	931	19.7	75.8	256974
IL Cook	157700	23227	13.5	5376741	-0.5	11.7	1397819	51.6	77.7	28	122645	26	73.2	39410
IL Crawford	54200	16869	11.2	20452	-1	16.6	4664	48.2	79.3	10.3	635	22.8	75.8	208922
IL Cumberland	68700	16953	9.5	11253	-0.7	15.8	2976	51.1	80.2	10.1	229	26.4	76.9	169773
IL DeKalb	135900	19462	11.4	88969	0.9	9.8	20569	50.4	87.5	26.8	1627	23.1	77.1	368076
IL De Witt	74300	20488	8.2	16798	-0.5	15.9	4126	51.1	83.5	13.4	499	24.6	76.2	204896
IL Douglas	70500	18474	6.4	19922	-0.2	16	5388	51.4	79.3	13.8	416	27	76.2	249551
IL DuPage	195000	31315	3.6	904161	0.9	9.8	241832	50.7	90	41.7	14193	26.7	77.7	17103
IL Edgar	54300	17857	10.5	19704	-1.5	17.7	4701	51.3	81.4	13.3	427	23.9	75.2	352401
IL Edwards	46700	16187	9.8	6971	-1.8	18.5	1607	51.6	82.3	9.8	249	23.1	75.6	112917
IL Effingham	85400	18301	8.1	34264	0.3	13.9	9784	50.5	83.4	15.1	809	28.6	76.6	256786
IL Fayette	59500	15357	12.2	21802	-0.4	15.9	5188	47.9	72.2	9	705	23.8	75.9	333232
IL Ford	70600	18860	7	14241	-0.6	19.4	3671	52.1	86	13.9	263	25.8	76.1	314806
IL Franklin	45100	15407	16.2	39018	-0.6	18.7	8958	52.1	76.7	11.3	1339	23	73.8	179588
IL Fulton	58100	17373	9.9	38250	-1	18.3	8414	48.7	78.3	11.4	1028	22	76.1	424942
IL Gallatin	46300	15575	20.7	6445	-2	18.2	1431	51.5	73.6	7.7	190	22.2	74.7	191113
IL Greene	47900	15246	12.4	14761	-1.3	17.5	3758	50.9	78.9	10.1	350	25.5	75.5	327590
IL Grundy	128600	22591	4.8	37535	2.1	12.3	9994	50.3	86.9	15.2	1217	26.6	76.9	201452
IL Hamilton	47800	16262	12.9	8621	-2	19.2	2067	51.7	74.3	10.5	272	24	74.6	214780
IL Hancock	58200	17478	8.3	20121	-1.1	18.3	4946	51.5	85.7	15.6	458	24.6	76.6	438342
IL Hardin	40800	15984	18.6	4800	0.5	18.6	981	49.9	68.1	9.6	129	20.4	75.7	39264
IL Henderson	57300	17456	9.5	8213	-0.1	16.7	1898	50.6	82.4	10	185	23.1	76	202186
IL Henry	77700	18716	8	51020	-0.5	16.3	12918	51	84.5	15.7	1424	25.3	77	456596
IL Iroquois	77900	18435	8.7	31334	-1.5	18.1	7974	51	80.3	11.8	802	25.4	76.1	667134
IL Jackson	68200	15755	25.2	59612	-1.3	11	11482	49	85.2	32	1199	19.3	75.7	202558
IL Jasper	65000	16649	9.9	10117	-0.8	16.5	2620	50.6	82.6	11.2	309	25.9	76.9	252272
IL Jefferson	63800	16644	12.3	40045	0.2	15.3	9696	49	77	13.7	1114	24.2	75.5	229512
IL Jersey	82800	19581	7.1	21668	0.8	14.4	5508	51.1	82.5	12.6	535	25.4	75.2	164164
IL Jo Daviess	89100	21497	6.7	22289	0.3	17.9	5162	49.9	83.6	15.2	557	23.2	76.6	275750
IL Johnson	64700	17990	11.3	12878	1.6	13.6	2363	40.2	67.1	11.7	309	18.3	75.3	104321
IL Kane	160400	24315	6.7	404119	5.3	8.4	122295	49.7	80.2	27.7	8304	30.3	75.8	209941
IL Kankakee	99200	19055	11.4	103833	0.3	13.1	28107	51.1	79.8	15	2853	27.1	73.6	351567
IL Kendall	154900	25188	3	54544	6.8	8.5	16083	50.3	89.9	25.3	833	29.5	77.4	167486
IL Knox	63500	17985	11.1	55836	-0.9	17.5	12306	50.2	81.8	14.6	1162	22	76.3	389776
IL Lake	198200	32102	5.7	644356	2.6	8.5	189364	49.7	86.6	38.6	11096	29.4	77	50901
IL La Salle	87000	19185	9.1	111509	0.1	16.4	28052	50.5	81.4	13.3	3651	25.2	76.3	587676
IL Lawrence	45800	17070	13.7	15452	-1.1	20.1	3510	52.4	81.3	9.7	499	22.7	75.6	182511
IL Lee	83400	18650	7.7	36062	-0.3	14.7	8727	48.7	80.2	13.2	741	24.2	75.9	393043
IL Livingston	79700	18347	8.8	39678	-0.6	15.3	9918	50.6	78.1	12.6	667	25	76.8	613645
IL Logan	75700	17953	8.1	31183	-1.2	15	6824	50	80.4	14.2	507	21.9	76	380921
IL McDonough	61200	15890	19.8	32913	-1	14.1	5818	51.2	86.9	26.9	436	17.7	76.9	340071
IL McHenry	168100	26476	3.7	260077	4	8	78496	49.8	89.2	27.7	4450	30.2	76.6	242484
IL McLean	114800	22227	9.7	150433	1	9.7	35292	51.7	90.7	36.2	2027	23.5	77.3	696575
IL Macon	69800	20067	12.9	114706	-1.5	15.2	28171	52.3	83.2	16.9	2940	24.6	75.4	322875
IL Macoupin	66700	17298	9.4	49019	-0.2	17.5	12064	51.3	82.1	11.8	1194	24.6	75.7	395696
IL Madison	77200	20509	9.8	258941	0.5	14.3	64437	51.8	84.3	19.2	5850	24.9	74.9	283608
IL Marion	53700	17235	11.3	41691	-0.6	16.6	10622	51.8	79.1	12.1	1341	25.5	74.2	249395
IL Marshall	75900	19065	5.6	13180	-1.6	18.8	3098	51	85	14.5	285	23.5	76.6	227521
IL Mason	61200	17357	9.7	16038	-0.5	17.3	3909	51	79.9	11.2	549	24.4	75.2	291579
IL Massac	63300	16334	13.5	15161	-0.5	17.8	3492	52.2	76.5	10.7	374	23	75.7	103769
IL Menard	93600	21584	8.2	12486	0.6	13.2	3314	51	88.3	20.5	228	26.5	75.2	170231
IL Mercer	68500	18645	7.8	16957	0.1	15.9	4206	50.8	84.9	12.6	627	24.8	76.3	309591
IL Monroe	125500	22954	3.4	27619	3.2	13.4	7304	50.8	87.2	20.4	422	26.4	76.9	186781
IL Montgomery	54800	16272	13.4	30652	-0.6	17	7275	48.4	77.1	11.2	1022	23.7	75.9	361022
IL Morgan	75800	18205	9.7	36616	-1.1	15.6	8344	50.3	79.9	19.9	719	22.8	75.9	305585
IL Moultrie	72800	18562	7.8	14287	0.1	17.7	3670	51.8	78.8	14.7	243	25.7	76.2	172657
IL Ogle	102700	20515	7.1	51032	1.4	13.4	14023	50.4	83.1	17	1166	27.5	77.2	379419
IL Peoria	85900	21219	13.7	183433	-1	14.2	46109	51.9	83.8	23.3	4091	25.1	75.8	267283
IL Perry	55000	15935	13.2	23094	-0.5	16	5083	46.9	72.3	10.1	760	22	75.3	172013
IL Piatt	82600	21075	5	16365	-0.3	15.5	4115	51.2	88.7	21	293	25.1	76.2	253317
IL Pike	54000	15946	12.4	17384	-1.1	19.2	4188	50.5	79.6	9.9	473	24.1	76.1	461360
IL Pope	50600	16440	18.2	4413	-1.6	17.7	949	49.4	75.8	10.5	139	21.5	75.7	72233
IL Pulaski	33300	13325	24.7	7348	-2.5	17.4	1996	52.2	70.7	7.1	268	27.2	75.3	83127
IL Putnam	89100	19792	5.5	6086	0.6	15.9	1527	50.6	83.8	12.1	161	25.1	76.6	76950
IL Randolph	65700	17696	10	33893	-0.2	15.6	7507	46.2	71.3	8.6	729	22.1	75.4	262464
IL Richland	62500	16847	12.9	16149	-0.7	17.6	3964	51.7	83.4	15.2	643	24.5	75.8	197224
IL Rock Island	78900	20164	10.7	149374	-0.7	15.1	35524	51.4	82.6	17.1	4413	23.8	75.2	170072
IL St.Clair	77700	18932	14.5	256082	0.2	13.2	70925	52.2	80.9	19.3	6556	27.7	72.8	264507
IL Saline	48300	15590	14.2	26733	-1.5	19	6414	51.9	76.1	12.1	798	24	74.6	130680
IL Sangamon	91200	23173	9.3	188951	0.2	13.5	47147	52.3	88.1	28.6	3690	25	75.8	466956
IL Schuyler	54000	17158	10.1	7189	-1.8	19.3	1658	50.4	83.6	11.7	212	23.1	76.9	208935
IL Scott	57800	16998	9.7	5537	-0.7	16.5	1392	51.7	83.1	12.1	152	25.1	76.1	145529
IL Shelby	66600	17313	9.1	22893	-0.9	17.8	5728	50.6	82.9	11.5	621	25	77	418688
IL Stark	61800	16767	8.6	6332	-0.1	19.2	1591	51.8	83.4	13.4	154	25.1	76.6	179711
IL Stephenson	81400	19794	9	48979	-1.2	16.4	12351	51.8	84.1	15.6	1435	25.2	77	308574
IL Tazewell	89200	21511	6.3	128485	-0.1	14.9	31347	50.8	85	18.1	2890	24.4	77	328289
IL Union	59900	16450	16.5	18293	-0.2	17.5	4237	51.4	74.8	15.8	619	23.2	73.7	136060
IL Vermilion	56000	16787	13.3	83919	-0.7	16	20972	50.8	78.7	12.5	2313	25	74.6	484846
IL Wabash	56200	16747	14.1	12937	-1.2	17	3133	51.2	82.2	12.5	468	24.2	75.6	121664
IL Warren	57600	16946	9.2	18735	-1.9	16.3	4342	51.6	82.3	15.8	355	23.2	76	315067
IL Washington	74300	19108	6	15148	0.1	16.7	3837	50.6	79.1	13.4	333	25.3	76.9	308576
IL Wayne	48600	15793	12.4	17151	-0.4	18.8	4072	51.3	75.2	10	599	23.7	76.5	320773
IL White	43100	16412	12.5	15371	-0.7	20.9	3311	52.3	74.6	10.4	488	21.5	74.7	256393
IL Whiteside	75700	19296	8.5	60653	-0.3	16.1	15187	51	79.8	11.3	1388	25	75.7	384738
IL Will	154300	24613	4.9	502266	6.8	8.3	150711	50.1	86.9	25.5	9892	30	75.6	293526
IL Williamson	63300	17779	14.6	61296	0.8	16.5	14051	51.6	79.8	17.2	1719	22.9	75.3	92289
IL Winnebago	91900	21194	9.6	278418	0.5	12.7	73526	51.1	81.4	19.4	6951	26.4	75.8	195621
IL Woodford	102900	21956	4.3	35469	1	14.8	9483	51.2	87.8	21.1	575	26.7	78.3	299763
IN Adams	85400	16704	9.1	33625	-0.5	13.4	10454	50.6	80	10.7	361	31.1	77.6	208653
IN Allen	88700	21544	9.1	331849	0.5	11.4	91951	51.1	85.7	22.7	5138	27.7	75.6	276385
IN Bartholomew	105300	21536	7.3	71435	0.2	12.1	18951	50.9	83.8	22	822	26.5	76.3	166612
IN Benton	75000	17220	5.5	9421	-1.5	15.7	2626	50.4	86.3	13	168	27.9	76	256820
IN Blackford	58900	16543	8.7	14048	-1.4	15.4	3465	50.8	81.3	10.3	282	24.7	75.2	85958
IN Boone	131100	24182	5.2	46107	2.8	11.8	13055	51.2	88.3	27.6	419	28.3	76.6	228328
IN Brown	114500	20548	8.9	14957	1.1	12.9	3486	49.8	83.6	18.5	205	23.3	76.3	21707
IN Carroll	87200	19436	6.8	20165	0.5	13.9	5298	50.1	83.2	12.9	267	26.3	76.1	218170
IN Cass	71500	18892	7.6	40930	0	14.5	10586	49.7	81.8	12	632	25.9	75	205380
IN Clark	89900	19936	8.1	96472	0.9	12.3	23376	51.4	79.9	14.3	1440	24.2	73.9	108773
IN Clay	72600	16364	8.7	26556	0.2	15.1	6930	51.5	82.3	12.8	507	26.1	75.1	159441
IN Clinton	85000	17862	8.6	33866	-0.3	14.4	9243	50.7	80.1	10.1	395	27.3	75.7	236320
IN Crawford	64600	15926	16.8	10743	1.6	12.6	2748	49.7	70.6	8.4	304	25.6	74.8	61320
IN Daviess	70800	16015	13.8	29820	-0.6	14.6	8634	50.7	71.8	9.7	447	29	75.3	217131
IN Dearborn	120600	20431	6.6	46109	1.5	11.2	12734	50.5	82	15.4	760	27.6	75.6	81383
IN Decatur	86400	18582	9.3	24555	-0.3	13.3	6451	50.6	79.1	11.5	316	26.3	75.4	198614
IN De Kalb	88000	19448	5.9	40285	0.3	11.4	11299	50.2	84.7	12.4	676	28	75.8	162936
IN Delaware	75400	19233	15.1	118769	-0.2	13.5	26248	52	81.6	20.4	2042	22.1	75.2	173443
IN Dubois	92700	20225	5.3	39674	0.3	12.9	10858	50.5	80.2	14.5	481	27.4	77.4	191053
IN Elkhart	98100	20250	7.8	182791	0.8	10.9	52799	50.3	75.7	15.5	2090	28.9	76.3	182771
IN Fayette	78500	18624	7.9	25588	-1.1	15.5	6223	51.5	73.7	7.8	556	24.3	75.1	106737
IN Floyd	104300	21852	8.7	70823	0.7	12.3	18288	51.8	82.4	20.4	901	25.8	75.4	28708
IN Fountain	69200	17779	8.5	17954	-0.8	15.6	4711	50.4	80.7	10.1	338	26.2	75.7	204554
IN Franklin	100100	18624	7.1	22151	0.6	12.5	6227	50.1	76.1	12.5	368	28.1	76.9	138635
IN Fulton	77000	17949	7.6	20511	0.7	15.4	5334	50.6	80.2	10.3	390	26	74.9	170645
IN Gibson	74700	18169	8.2	32500	0.7	15.5	8060	51.1	80.9	12.4	737	24.8	76.3	232839
IN Grant	68500	18003	11.8	73403	-1.1	15	17338	52	79.2	14.1	1310	23.6	75	192292
IN Greene	66800	16834	11	33157	0	15.3	8199	50.8	79.2	10.5	876	24.7	75.1	205628
IN Hamilton	166300	33109	2.9	182740	8.1	7.5	56261	50.8	94.2	48.9	1168	30.8	77.7	140813
IN Hancock	129700	24966	3	55391	3.2	11.2	14697	50.6	87.8	22.2	591	26.5	75.7	163704
IN Harrison	95700	19643	6.4	34325	1.8	11.4	8906	50.2	80.3	13.1	488	25.9	76.1	161378
IN Hendricks	133300	23129	3.6	104093	6.4	9.7	29166	49.9	88.5	23.1	864	28	76.4	167228
IN Henry	84100	19355	7.8	48508	-0.2	15.7	11719	51.8	79.6	11.7	991	24.2	75.6	177601
IN Howard	89000	22049	9.5	84964	0	13.3	21748	51.6	83.3	18.1	1108	25.6	75	147750
IN Huntington	81600	19480	5.5	38075	-0.1	14.1	9948	51.3	85	14.2	606	26.1	76	184137
IN Jackson	87500	18400	8.5	41335	-0.2	13.3	10549	50.7	79.8	11.5	512	25.5	75.7	201006
IN Jasper	105700	19012	6.7	30043	1.7	12.4	8234	50.4	82.4	13	580	27.4	75.6	282915
IN Jay	62500	16686	9.1	21806	-0.2	14.7	5885	51	78.5	9.9	443	27	75.2	179794
IN Jefferson	85800	17412	9.6	31705	1.1	13.1	7725	50.5	81	16.4	483	24.4	74.8	126379
IN Jennings	81900	17059	9.2	27554	2	10.7	7625	50.3	76.2	8.4	328	27.7	75.2	130373
IN Johnson	122500	22976	5.6	115209	3.5	11	31333	51	85.7	23.1	1136	27.2	76	135563
IN Knox	63600	16085	16	39256	-1.1	15.4	9001	50.4	81.7	14.4	636	22.9	75	280628
IN Kosciusko	95500	19806	6.4	74057	0.7	12	20562	50.1	81.6	14.9	874	27.8	76.3	246907
IN Lagrange	99800	16481	7.7	34909	1.1	10	11813	49.4	60.2	8.9	447	33.8	76.7	189932
IN Lake	97500	19639	12.2	484564	0.2	13	129797	51.8	80.7	16.2	9501	26.8	73.1	148872
IN La Porte	93500	18913	8.7	110106	0.4	13.5	27002	48.7	80.6	14	1884	24.5	75.1	247756
IN Lawrence	75400	17653	9.8	45922	0.2	14.8	11274	51.3	77.4	10.7	1166	24.6	74.9	170811
IN Madison	81600	20090	9.3	133358	-0.8	14.9	31776	50.7	80.1	14.4	2091	23.8	75.1	223751
IN Marion	99000	21789	11.4	860454	-0.4	11.1	221749	51.7	81.6	25.4	12349	25.8	73.9	29034
IN Marshall	88100	18427	6.8	45128	1.5	13.3	12659	50.3	79.8	14.9	632	28.1	77.3	201637
IN Martin	64200	17054	11.2	10369	0.1	14.2	2615	49.4	74.2	8.8	201	25.2	75.3	70105
IN Miami	71100	17726	8	36082	0.5	12.9	9336	49.2	81.9	10.4	580	25.9	75.4	197198
IN Monroe	113100	18534	18.9	120563	-0.6	9.2	21664	50.9	88.5	39.6	1411	18	77.5	62149
IN Montgomery	88800	18938	8.3	37629	0.6	13.9	9766	50.1	85.7	14.7	573	26	75.4	273258
IN Morgan	116200	20657	6.6	66689	1.2	10.6	18153	50.3	80.7	12.6	872	27.2	76.3	133958
IN Newton	87500	17755	6.9	14566	-0.9	12.8	3847	50.3	78.7	9.6	236	26.4	76	207315
IN Noble	88600	17896	7.9	46275	1.4	11	13424	49.6	77.3	11.1	847	29	75.8	181963
IN Ohio	97100	19627	7.1	5623	1.8	13.7	1397	50.8	78.4	11.6	86	24.8	74.8	29880
IN Orange	63500	16717	12.4	19306	0.7	14.9	4960	50.8	73.8	10.2	612	25.7	74.8	123343
IN Owen	84600	16884	9.4	21786	1.5	12.8	5794	50.3	74.9	9.2	398	26.6	75.1	107265
IN Parke	64900	16986	11.5	17241	0	14.7	4114	52.3	80.5	11.6	261	23.9	73.9	188816
IN Perry	71200	16673	9.4	18899	-0.1	14.9	4325	48.3	74.8	9.6	521	22.9	75.6	84251
IN Pike	59300	16217	8	12837	0.7	15.3	3070	50	75.6	8.4	244	23.9	75	84237
IN Porter	127000	23957	5.9	146798	1.3	10.9	37802	50.9	88.3	22.6	2285	25.8	76.3	134505
IN Posey	89800	19516	7.4	27061	0	12.4	7391	50.2	84.4	14.8	404	27.3	76.2	195305
IN Pulaski	72500	16835	8.3	13755	1.7	15.4	3703	49.6	79.8	10.3	423	26.9	74.9	236332
IN Putnam	94300	17163	8	36019	0.9	12.3	8495	48	81.2	13.1	325	23.6	76.4	195377
IN Randolph	64600	16954	11.1	27401	-0.1	15.8	6905	51	79.6	9.9	749	25.2	75.8	223817
IN Ripley	94900	17559	7.5	26523	1.7	13.4	7446	50.9	78.9	11.5	441	28.1	75.9	159460
IN Rush	82300	17997	7.3	18261	-1.5	14.8	4877	50.9	79.6	10.3	289	26.7	76.9	227874
IN St.Joseph	85700	19756	10.4	265559	-0.3	13.6	68289	51.7	82.4	23.6	4164	25.7	75.8	154142
IN Scott	76900	16065	13.1	22960	1.3	11.1	6028	50.4	71.4	8.8	334	26.3	73.2	57372
IN Shelby	98600	20324	7.6	43445	0.3	12.2	11583	50.5	79.8	12.7	702	26.7	75.2	200661
IN Spencer	85100	18000	6.9	20391	-0.6	13	5397	49.9	81.2	13	473	26.5	75.6	172687
IN Starke	80000	16466	11.1	23556	-7.4	13.9	6312	50.5	72	8.4	508	26.8	74.4	135643
IN Steuben	106200	20647	6.7	33214	0.6	11.9	8521	49.5	84.3	15.5	511	25.7	75.9	123953
IN Sullivan	58900	16234	10.9	21751	0.3	14.1	4912	46.5	80.8	9.4	513	22.6	75.1	176895
IN Switzerland	78400	17466	13.9	9065	3.4	12.6	2384	49.6	71.4	7.6	154	26.3	74.8	67881
IN Tippecanoe	112200	19375	15.4	148955	0.1	9.1	31200	48.7	87.8	33.2	1584	20.9	75.8	241539
IN Tipton	88300	21926	5.1	16577	-0.3	14.5	4144	51.1	83.7	12.4	199	25	75.1	158440
IN Union	82600	19549	9.7	7349	-0.5	12.9	2005	50.4	79.9	11.1	120	27.3	76.9	82500
IN Vanderburgh	82400	20655	11.2	171922	-0.4	15.3	39779	52.6	83.1	19.3	2837	23.1	75	72112
IN Vermillion	59500	18579	9.5	16788	-1.2	15.8	3991	51.3	81.2	11.2	404	23.8	73.9	118065
IN Vigo	72500	17620	14.1	105848	-1	14.2	24216	50.9	81	21.4	2128	22.9	74.6	114889
IN Wabash	78400	18192	6.9	34960	-0.7	15.7	8577	51.5	81.7	13.7	544	24.5	76	188230
IN Warren	74100	18070	6.5	8419	2.3	13.9	2193	49.3	85	14	114	26	75.7	184653
IN Warrick	104400	21893	5.3	52383	1.3	10.8	14074	50.9	86.3	21.8	810	26.9	76.2	98549
IN Washington	77500	16748	10.6	27223	1.3	12	7216	50	75.2	10.2	540	26.5	75.6	181298
IN Wayne	80300	17727	11.4	71097	-0.8	15.7	17215	52	78.1	13.7	1321	24.2	75.3	172860
IN Wells	87900	19158	5.9	27600	0.3	14.1	7538	50.7	87.3	14.3	342	27.3	76.8	195901
IN White	86200	18323	7	25267	-0.4	14.8	6524	50.8	82.1	10.5	452	25.8	76.1	272072
IN Whitley	96000	20519	4.9	30707	1.3	13	8213	50.4	86.2	13.3	419	26.7	76.8	165067
IA Adair	59300	17262	7.6	8243	-2.1	22.1	1968	51	87.8	11.2	105	23.9	77	335756
IA Adams	46500	15550	9.3	4482	-1.9	21.4	1073	50.8	84.5	12	56	23.9	77.3	235441
IA Allamakee	68100	16599	9.6	14675	-1.7	18.4	3731	49.9	81.4	14.4	288	25.4	76.7	295778
IA Appanoose	45400	14644	14.5	13721	-0.9	20	3255	52.2	81.4	12.2	269	23.7	76.6	241094
IA Audubon	48700	17489	7.7	6830	-1.7	23.5	1771	52.1	82.5	12.3	85	25.9	77.8	272258
IA Benton	82700	18891	6.1	25308	2.5	15.4	6924	50	87.8	13.9	312	27.4	78.2	418483
IA Black Hawk	77000	18885	13.1	128012	-1.2	14	29545	52	86.5	23	2621	23.1	76.4	285972
IA Boone	74900	19943	7.6	26224	0.2	16.4	6515	51	89	18.8	286	24.8	78	328906
IA Bremer	88000	19199	5.1	23325	0.2	16	5627	51.7	87.7	21.5	351	24.1	78.7	238528
IA Buchanan	73900	18405	9.4	21093	-0.9	14.5	6031	50.3	84.6	12.7	406	28.6	77.4	336863
IA Buena Vista	64900	16042	10.5	20411	-1.9	16.9	5179	49.9	81.3	18.7	228	25.4	77.8	356751
IA Butler	62200	17036	8	15305	-1	20.1	3734	51	82.2	12.4	343	24.4	78.8	324282
IA Calhoun	54700	17498	10.1	11115	-1.8	22.1	2564	50.5	85.4	15.4	137	23.1	77.1	336516
IA Carroll	75900	18595	6.5	21421	-1.4	18.7	5769	51.3	83.7	16	276	26.9	78.8	352698
IA Cass	59500	17067	11.1	14684	-0.9	20.8	3488	51.5	85.9	16.6	241	23.8	77	331362
IA Cedar	84600	19200	5.5	18187	-0.2	16.2	4609	50.6	87.7	16.3	227	25.3	77	325744
IA Cerro Gordo	75400	19184	8.5	46447	-1.7	17.7	11046	51.9	87.3	20.3	668	23.8	77.8	300851
IA Cherokee	57300	17934	7.3	13035	-1.2	20.4	3212	50.7	87.5	15.2	152	24.6	77	330355
IA Chickasaw	71200	18237	8.3	13095	-0.3	17.9	3423	50	83.4	12.2	256	26.1	77.9	272371
IA Clarke	64700	16409	8.5	9133	0.1	17.1	2402	50.8	84.4	12.1	156	26.3	77.2	221848
IA Clay	74400	19451	8.2	17372	-1.7	18	4289	51.7	88	16.3	223	24.7	78.3	285829
IA Clayton	66400	16930	8.6	18678	-0.7	18.5	4735	50.6	82.6	12.8	448	25.4	76.7	452050
IA Clinton	70900	17724	10.2	50149	-0.4	15.8	12840	51.5	85.6	14.4	932	25.6	77	367764
IA Crawford	58200	15851	11.1	16942	-0.2	17.1	4495	49.8	78.5	12.4	199	26.5	78.1	431726
IA Dallas	108000	22970	5.6	40750	5.3	11.1	11487	50.6	89.5	26.8	332	28.2	77	323612
